frame_index,latitude,longitude
0,28.6169,77.2051
30,28.61715,77.205346
60,28.617396,77.205583
90,28.617638,77.205812
120,28.617873,77.206036
150,28.6181,77.206257
180,28.618317,77.206477
210,28.618526,77.2067
240,28.618728,77.206926
270,28.618923,77.20716
300,28.619114,77.207401
330,28.619304,77.207651
360,28.619496,77.20791
390,28.619691,77.208177
420,28.619893,77.208451
450,28.620102,77.208729
480,28.62032,77.209009
510,28.620547,77.209288
540,28.620783,77.209563
570,28.621025,77.209833
600,28.621272,77.210096
630,28.621522,77.21035
660,28.621771,77.210595
690,28.622018,77.210832
720,28.622259,77.211061
750,28.622494,77.211285
780,28.62272,77.211505
810,28.622937,77.211726
840,28.623145,77.211948
870,28.623346,77.212175
900,28.623541,77.212409
930,28.623732,77.212651
960,28.623923,77.212902
990,28.624114,77.213161
1020,28.62431,77.213429
1050,28.624512,77.213702
1080,28.624722,77.213981
1110,28.624941,77.21426
1140,28.625168,77.214539
1170,28.625404,77.214815
1200,28.625646,77.215084
1230,28.625894,77.215346
1260,28.626143,77.2156
1290,28.626393,77.215844
1320,28.626639,77.216081
1350,28.62688,77.216309
1380,28.627114,77.216533
1410,28.62734,77.216754
1440,28.627557,77.216974
1470,28.627765,77.217197
1500,28.627965,77.217424
1530,28.62816,77.217658
1560,28.628351,77.217901
1590,28.628541,77.218152
1620,28.628733,77.218412
1650,28.628929,77.21868
1680,28.629131,77.218954
1710,28.629342,77.219232
1740,28.629561,77.219512
1770,28.629789,77.219791
1800,28.630025,77.220066
1830,28.630268,77.220335
1860,28.630515,77.220597
1890,28.630765,77.22085
1920,28.631014,77.221094
1950,28.631261,77.22133
1980,28.631501,77.221558
2010,28.631735,77.221781
2040,28.63196,77.222002
2070,28.632176,77.222222
2100,28.632384,77.222445
2130,28.632584,77.222673
2160,28.632778,77.222908
2190,28.632969,77.22315
2220,28.633159,77.223402
2250,28.633351,77.223663
2280,28.633548,77.223931
2310,28.63375,77.224205
2340,28.633961,77.224484
2370,28.634181,77.224764
2400,28.634409,77.225042
2430,28.634646,77.225317
2460,28.634889,77.225586
2490,28.635137,77.225847
2520,28.635387,77.2261
2550,28.635636,77.226343
2580,28.635882,77.226579
2610,28.636122,77.226807
2640,28.636355,77.22703
2670,28.63658,77.22725
2700,28.636796,77.227471
2730,28.637003,77.227694
2760,28.637202,77.227922
2790,28.637397,77.228157
2820,28.637587,77.2284
2850,28.637778,77.228653
2880,28.63797,77.228914
2910,28.638167,77.229182
2940,28.63837,77.229457
2970,28.638581,77.229736
